key,0,1,2
47,[第14期],宇宙飛線延伸至翠核深谷全域,此前僅開通至荒漠地洞遺蹟外圍的宇宙飛線，如今已成功延伸至遺蹟最深處！<hex:02100103><hex:02100103>據觀測，遺蹟內的導石與元形晶在運作時，需定期從俄匊斯碧玉汲取以太。此次宇宙飛線的延伸將極大便利物資運輸，為遺蹟機能維持提供重要支援。<hex:02100103>同時，站點之間擬似風脈的形成，或將成為總部自形晶和地下遺蹟的元形晶產生聯結的契機……真令人期待今後的研究進展。<hex:02100103>至此，俄匊斯行星目前規劃勘探區域已實現宇宙飛線全域覆蓋。<hex:02100103>隨著研究人員往來日益頻繁，關於元形晶的調查研究必將取得長足進展！
48,[第15期],大地基地結構強化工程竣工,大地基地結構強化工程已順利完工！<hex:02100103>施工期間同步完善的基地內部裝潢，也已為未來裝置擴容做好充分準備。<hex:02100103><hex:02100103>遺蹟內安裝的各項裝置均為臨時工程，等我們完成計劃中的所有勘探並撤離行星時，所有設施均可恢復原貌。<hex:02100103>在確保可逆性的前提下實現結構強化實屬不易……這一切都仰賴諸位同仁的鼎力協作！<hex:02100103><hex:02100103>本次結構強化的核心目的，是在基地頂層架設通訊裝置，用以實現荒漠地洞遺蹟的元形晶和基地的自形晶產生共鳴，進而完成以太數據傳導。<hex:02100103>為便於前往頂層，基地中現已增設外側階梯與升降機，敬請各位善加利用！
49,[第16期],立石塔正式竣工,一座巍然聳立於大地基地的巨型通訊設施已正式落成！<hex:02100103><hex:02100103>這座被命名為立石塔的裝置，預計將作為以太共鳴機，用於連線遠距離分佈的結晶體機構。<hex:02100103>基地的中央設施自形晶因長期缺失驅動所需的以太數據，至今未能修復……但若能成功與地下儲存完好的元形晶完成同步，或許終將重啟運作！<hex:02100103><hex:02100103>鑑於自形晶被認為曾是先驅者們活動的核心樞紐，若能成功恢復運轉，必將為我們揭示更多關於先驅者的秘密！<hex:02100103>研究團隊已緊鑼密鼓地展開立石塔的啟動準備工作。
50,[第17期],自形晶講述的往昔與征途,不知自形晶將為我們開啟怎樣的資訊寶庫……<hex:02100103>如今研究者們正懷揣著殷切期望，全力推進解析準備工作。<hex:02100103>若能在此揭開先驅者們的情報，必將對後續勘探計劃產生深遠影響。<hex:02100103>銀河威號現已整裝待發，準備開啟新的征程！<hex:02100103><hex:02100103>當初從法恩娜觀測這顆行星時，雖已識別到文明存在的痕跡，但其本質仍是未解之謎。<hex:02100103>而今通過實地探索，先驅者們的足跡已逐漸浮現於我們眼前。<hex:02100103><hex:02100103>而他們懷揣的理想、追求的夙願、奔赴的目標，我們還未曾知曉。<hex:02100103>?了緊跟他們的步伐將之逐一揭曉，宇宙探索策劃部將繼續這場求知之旅！
51,[第1期],奮起！奧克塞西亞行星探索計劃,自月面探索以來，我們已經接連探索了三顆各不相同的星球，而接下來將繼續由本人時評威執筆，為大家記述第四顆星球「奧克塞西亞行星」的探索歷程。<hex:02100103>希望能為各位計劃的相關人員獻上一份詳實可靠的記錄！<hex:02100103><hex:02100103>之前在俄匊斯行星的探索過程中，我們調查了某個未知文明的遺跡，我們稱其為先驅者文明。<hex:02100103>當我們修復並重啟了先驅者文明留下的結晶體設施「自形晶」後，通往下一顆星球的航線圖隨即出現在了我們的眼前！<hex:02100103><hex:02100103>和被荒漠覆蓋的俄匊斯行星不同，這顆星球的地表綠意盎然、植被豐茂，而在植被掩映下的，則是一座極為龐大的都市遺跡。<hex:02100103>說不定這顆星球可能才是先驅者們的母星……！<hex:02100103><hex:02100103>於是我們馬上開始建設原木屋基地，並向奧克塞西亞行星邁出了探索的第一步。<hex:02100103>還望各位能夠繼續多多幫忙！
52,[第2期],居住艙竣工,作為探索奧克塞西亞行星的立足點，居住艙現已竣工！<hex:02100103>我們參考了先驅者建築物的特點，選擇了當地的木材作為材料，並施以了耐燃、耐久加工。<hex:02100103>而這種選擇似乎也能減輕對星球環境造成的負擔。<hex:02100103><hex:02100103>在先驅者們構築的都市空間中，巨樹的樹冠部分被通過魔法平整化，形成了連成一片的空中庭園，我們稱其為林島。<hex:02100103>而這種圓形的土地下方則與居住區相連。<hex:02100103>最令人驚歎的是，這些建築也和俄匊斯行星相同，沒有使用任何釘子鋸子之類的建築工具，完全是通過使用魔法改變物質形態的方式建設而成的。
53,[第3期],宇宙飛線大範圍展開,宇宙飛線現已在包括原木池以及葉脈綠道全域的都市中心區域鋪設完成！<hex:02100103><hex:02100103>在這奧克塞西亞行星之上，似乎原本就存在著物理公路網與地脈之流相互配合的高水準高速移動路徑，這些路徑從市中心一直輻射到郊外。<hex:02100103>本次宇宙飛線的鋪設，我們通過探明地脈的流向，沿著先驅者們留下的路徑設定了站點。<hex:02100103>而這樣做的好處就是，需要消耗的能量大幅降低了！<hex:02100103>先驅者們在魔法方面的先進性再次得到了證明。<hex:02100103><hex:02100103>拜其所賜，初次建設宇宙飛線便能覆蓋很大的範圍了，接下來就請大家靈活使用宇宙飛線，探索先驅者們留下的都市空間吧！
54,[第4期],能源與水利設施竣工,適配奧克塞西亞行星環境的發電站與供水站建設完成了！<hex:02100103><hex:02100103>這顆星球的環境相比之前的星球要安定許多，但水源可能還是存在著未知的危險性，因此不能直接用作生活用水。<hex:02100103>水源經由大樹內的人工水路供給到樹上時雖然也會經過過濾，但我們並不瞭解先驅者們的生理構造，因此過濾後的水中依然可能會殘留對人體以及兔兔族有害的物質。<hex:02100103><hex:02100103>為此我們活用在之前的探索活動中積累起來的經驗和技術，建設了最新式的淨水設施。<hex:02100103>而相比在之前的星球建設過的發電設施，我們這次建設的發電設施也有技術升級，想必能更加穩定地進行電力供給。
55,[第5期],子葉塔修復完成,位於基地東南不遠處的子葉塔現已成功修復！<hex:02100103>我們在子葉塔的中樞發現了綠色的結晶體，而研究表明這個結晶體和俄匊斯行星的自形晶成分相同，只要繼續解析這個結晶體，說不定會有很重大的發現。<hex:02100103><hex:02100103>順便一提，子葉塔的四周原本因病害而枝葉變色幾近枯萎的樹木最近也重新變得枝繁葉茂了。<hex:02100103>原本能夠產生幻花風的都市功能維持設施也沒能祛除這些病害，而病害逐漸影響到了林島的乙太迴流，子葉塔的能源供給也被中斷。<hex:02100103>為此我們在子葉塔的周圍播撒了新開發的鍊金劑，成功祛除了病害使樹木得以痊癒，從而活化了地脈！<hex:02100103><hex:02100103>這次的行動非常成功，子葉塔與周邊的森林都重新取回了活力。<hex:02100103>我們會繼續應用這一方法，不斷推進今後的探索計劃！
56,[第6期],原木屋基地的擴充整備,近期我們對原木屋基地進行了擴建，在基地內設定了乙太變換器並使其與周圍的環境相連，並進一步改良了發電站！<hex:02100103>如此一來，現在基地就能與修復的子葉塔直接相連了，應該可以提高塔內結晶體的解析速度。<hex:02100103>另外，我們還進一步修整了基地內的道路，併為機甲庫進行了升級，想必能為各位計劃的參與者們提供更大的便利！<hex:02100103><hex:02100103>這次的擴建應該會加深我們對都市設施的理解，然而為了能完全理解先驅者文明的全貌，還需要我們修復並連線更多都市功能與設施……<hex:02100103>讓我們繼續推進探索的步伐，不斷向前邁進吧！
57,[第7期],樹晶堆疊得以通行,為了推進對樹晶堆疊內部的調查，需要對堵塞住道路的樹木進行採伐。<hex:02100103>這些樹木也同時阻擋住了流向林島內的乙太。<hex:02100103><hex:02100103>為此我們投入使用了針對奧克塞西亞行星環境而開發的新型重機——宇宙伐木機！<hex:02100103>而宇宙伐木機也不負我們的期待，用大型鋸與搬運臂成功採伐了異常繁茂阻擋在前的樹木，使樹晶堆疊得以通行了！<hex:02100103><hex:02100103>而在樹晶堆疊的內部，我們發現了另一座聳立著的設施——常葉塔。<hex:02100103>這裡佈滿了藍色的礦石，和子葉塔的情況完全不同，不知道這裡承擔了怎樣的功能呢？
58,[第8期],常葉塔修復完成,聳立在樹晶堆疊的常葉塔現已修復完成！<hex:02100103>而對附近異常繁茂的樹木，我們也和堵塞住道路的樹木一樣進行了採伐。<hex:02100103><hex:02100103>通過與基地相連進行解析，我們已得知了最初發現的子葉塔的作用，它是負責管理整個都市乙太流的中轉站。<hex:02100103>而這次的常葉塔，我們推斷它可能是一座高精尖的資訊保管庫，和塔周圍的設施共同承擔了保管這座魔法都市各種資訊的職責。<hex:02100103>畢竟先驅者文明先進到能用乙太傳遞資訊，如果我們持之以恆地對這座塔進行解析，今後說不定能從中得到更多的知識。<hex:02100103><hex:02100103>一想到或許還能知道往時先驅者們還在時這座都市的本來面貌……光是想像就令人心潮澎湃啊！
59,[第9期],宇宙飛線向樹晶堆疊延伸,宇宙飛線目前已經通到了樹晶堆疊內部的區域！<hex:02100103>這下就能更方便地往來於位於基地斜前方的常葉塔了，各位研究員們都很開心。<hex:02100103><hex:02100103>之前已經說明過，我們在這顆星球鋪設宇宙飛線時，會利用先驅者們留下的乙太路徑。<hex:02100103>而這種利用還反過來促使本就覆蓋了整個都市的乙太流更加活化了。<hex:02100103>我們建設宇宙飛線原本只是為了方便交通，沒想到它還會在幫助恢復都市功能方面發揮作用，這一點真的在正面意義上超出了我們的預期。
60,[第10期],宇宙港功能升級,奧克塞西亞行星的門戶——宇宙港現已完成功能升級！<hex:02100103><hex:02100103>這次我們也增設了銀河威號專用的發電站，以及能防止幻花風對機械裝置產生影響的新功能。<hex:02100103>飛向宇宙更遠處的時機已經越來越近了。<hex:02100103><hex:02100103>說到飛向大氣層之外，我們通過觀測覆蓋著這顆星球的天脈，發現了一些其受到重力魔法之影響的痕跡。<hex:02100103>通過考察該痕跡與地面的角度，可以得知或許先驅者們就是從原木屋基地或宇宙港所在的位置向宇宙踏上旅程的。
61,[第11期],遠引木橋架設,為了到達陸路交通難以通行的西南部的蒼石林班，我們用樹根架起了一座「遠引木橋」！<hex:02100103><hex:02100103>本次架橋作業我們利用了在周邊發現的一些殘骸，這些殘骸疑似先驅者文明留下的自律型機械。<hex:02100103>這些名為原木無人機的機械是負責維護樹木形態的終端機。<hex:02100103>我們用亞伊太利斯的技術對它們進行了修復，使這些無人機恢復了部分功能，通過它們活化了林島的樹根，併成功用樹根架起了這座橋！<hex:02100103><hex:02100103>沉睡在蒼石林班內部的設施想必也和之前的兩座塔一樣，擔負著對這座都市來說必不可少的功能。<hex:02100103>為了進一步揭開這座都市的本來面貌，讓我們不斷向前邁進吧！
62,[第12期],末葉塔修復完成,隱藏在蒼石林班內部的末葉塔現已修復完成！<hex:02100103>隨著這座塔被點亮，林島內外逐漸枯萎的樹木也都同時恢復了活力。<hex:02100103><hex:02100103>和其他兩座塔不同，末葉塔的周邊有著巨大的靛藍石結晶。<hex:02100103>其他兩座塔的周圍也有著許多來自俄匊斯的礦石，這些礦石被用作能量塊以及記憶媒介，但它們都沒有末葉塔旁的這塊靛藍石結晶這麼巨大。<hex:02100103>研究者們的看法是，這座塔晶可能擔負著控制以及指揮整座都市乙太流的職能。<hex:02100103><hex:02100103>總之，現在三座塔均已修復，我們終於做好了前往都市中樞設施的準備。<hex:02100103>大家一起振奮精神邁出新的步伐吧！
63,[第13期],宇宙飛線向蒼石林班延伸,宇宙飛線目前已經通到了蒼石林班最深處的區域！<hex:02100103><hex:02100103>隨著新線路的鋪設完成，都市內部的乙太流也進一步得到了活化……<hex:02100103>研究小組對活化後的乙太流進行了監測，他們從乙太流的波動模式中發現了類似語言的特徵，當前正在魔法大學考古系學者們的幫助下抓緊解析並嘗試翻譯。<hex:02100103><hex:02100103>然而令人在意的是，這種乙太流的波動是不斷迴圈往復的。<hex:02100103>也就是說，它很可能只是在重覆同一段文章。<hex:02100103>若果真如此，這也就意味著雖然我們恢復了這座都市的基本功能，但隱藏著先驅者們知識的更為中樞的設施還沒有從沉眠中被喚醒。<hex:02100103>如果能將那座如同白色大樹一般最大的塔也一併修復，是否情況就會有所不同呢？<hex:02100103>為了進一步揭開先驅者們的神秘面紗，拜託大家繼續多多幫助了！
64,[第14期],機甲庫功能升級,為了向都市中樞的高塔發起挑戰，我們對機甲庫進行了升級改造！<hex:02100103>針對經過特殊調整升級過的強力機兵，機兵的檢修維護功能得以大幅升級。<hex:02100103>目前也已實現了充電的高速化，使得多臺機體可以同時出動了。<hex:02100103><hex:02100103>與此同時，我們也在基地內部的休息空間種植了更多的樹木，另外還在中央區域設定了防護屋棚，用以保護中控水晶以及重要的通訊器材。<hex:02100103>經過本次的擴建，想必原木屋基地也已接近最終形態了吧。<hex:02100103><hex:02100103>讓我們在綠意掩映下的木製長椅上好好休息，之後就向都市的中樞發起挑戰吧！
65,[第15期],核心林區上層環境整備完畢,乘坐著新型強力機兵，我們終於到達了都市的中心區域「核心林區」的上層！<hex:02100103>我本人也一同隨行前往了那裡，從高空眺望的都市中心真是難得一見的絕美景色……！！<hex:02100103>上層錯落分佈著數個巨蛋狀的屋內設施，每個設施似乎都如同都市的大腦一般承擔著極為重要的作用。<hex:02100103>伴隨著下層林島全域都市設施的完全恢復，以及通過機甲噴灑鍊金藥劑噴霧，使得上層的乙太流也得以活化，我們已確認到之前完全處於休眠狀態的核心林區出現了甦醒的徵兆。<hex:02100103>目前宇宙飛線的站點也已設定完畢，萬事俱備，可以前往中央設施了！
66,[第16期],太母神桂即將重啟,目前已經準備就緒，可以重啟這顆星球之上最重要的中央設施「太母神桂」了！<hex:02100103><hex:02100103>這裡也和下層我們所見過的許多林島相同，樹木都失去了活力，但我們通過噴灑鍊金藥劑噴霧成功活化了此處的乙太流。<hex:02100103>而結果出現在我們眼前的是一個未知的巨大球體，與一棵支撐球體的神秘大樹。<hex:02100103>研究小組認為該球體可能是城市的中央演算系統，而真相究竟如何呢……<hex:02100103><hex:02100103>要讓太母神桂完全甦醒，還需要對幾處位置進行精細的手動調整來連線乙太流。<hex:02100103>這些工作就交給研究小組來做，其他人只需靜待結果即可。
67,[第17期],先驅者們的森林之歌,乙太母神桂為中心的這顆星球已經完全取回了綠意與生命力，樹木們繁茂的枝葉隨風沙沙作響，如同先驅者們在對我們歌唱一般。<hex:02100103>我們剛剛踏上奧克塞西亞行星時，雖然這裡也被綠色覆蓋，但星球各處卻存在著各種問題。<hex:02100103>現在這些問題都已得到解決，整座都市的乙太順暢地流動著。<hex:02100103><hex:02100103>穿梭於宇宙的群星之間，探尋存在於那裡的生命……<hex:02100103>這是我等宇宙探索策劃部最初設定好的目標之一。<hex:02100103>即便不能和他們手拉手面對面地進行交流，我相信經過這顆星球的探索，也算是切身感受到了他們存在過的痕跡。<hex:02100103><hex:02100103>宇宙探索計劃到現在為止算是暫時告一段落了，但只要宇宙還存在著未知，我們就絕不會完全停下探索的腳步！<hex:02100103>前往遙遠宇宙彼方的旅途，我們還遠遠沒有將其走完！<hex:02100103>以上由時評威為您記述，感謝大家至今以來的支援！
